"title","author","topic","year","pages"
"The Science of Aquatic Habitats","Sophia Parker","Science",1202,481
"The Science of Artificial Intelligence","Olivia Parker","Science",1434,124
"The Science of Climate Change","Olivia Parker","Science",1968,473
"The Science of Human Growth","Emma Green","Education",1270,63
"The Science of Ocean Currents","Ava Turner","Science",1322,409
"The Science of Popular Psychology","Emily Roberts","Writing",1229,281
"The Science of Predictive Analytics","Grace Parker","Science",1670,266
"The Science of Self-Help","Emily White","Writing",1982,198
"The Science of World-Building","Grace Green","Writing",1904,195
"The Scriptwriter's Journal","Jack Scott","Writing",1037,354
"The Sculptor's Gallery","Ava Foster","Art",1421,499
"The Sculptor's Treasury","Michael Adams","Art",1285,168
"The Secrets of Book Marketing","Liam White","Writing",1867,461
"The Secrets of Coral Reefs","Emily Hall","Science",1608,458
"The Secrets of DNA","Olivia Harris","Science",1606,404
"The Secrets of Quantum Entanglement","Grace White","Science",1866,165
"The Secrets of Reptiles","Jack Thompson","Science",1658,240
"The Secrets of Villains","Olivia Bennett","Writing",1627,147
"The Seer's Handbook","Thalor the Wise","Arcana",1562,438
"The Soul of Flamenco","Elena Petrova","Music",1456,33
"The Soul of Indian Classical Music","Sita Singh","Music",1913,324
"The Soul of Motown","Benny Rodgers","Music",1924,234
"The Soul of South African Jazz","Nia Kone","Music",1518,341
"The Sound of American Folk Music","Ella King","Music",1264,125
"The Sound of Baroque","Sofia Romano","Music",1518,465
"The Sound of Broadway","Harper Blake","Music",1844,334
"The Sound of Japan","Haruki Nakamura","Music",1721,33
"The Sounds of Ancient Greece","Clara Williams","Music",1780,117
"The Sounds of Hindustani Music","Arjun Nair","Music",1992,143
"The Sounds of the Savanna","Abena Osei","Music",1846,113
"The Spellcaster's Handbook","Lysandra Silverleaf","Arcana",1843,205
"The Spirit of African Music","Kesi Juma","Music",1428,42
"The Stages of Development","Liam Davis","Education",1443,296
"The State of American Education","Ava Green","Education",1138,419
"The State of European Education","Ava White","Education",1152,85
"The Story of Global Education","Emma Bennett","Education",1778,192
"The Structure of Mystery","Liam Turner","Writing",1213,81
"The Structure of Storytelling","Grace Lee","Writing",1375,313
"The Structures of Life","Jack Thompson","Science",1876,223
"The Study of Animal Behavior","Ava Johnson","Science",1964,59
"The Study of Data Structures","Liam Scott","Science",1486,159
"The Study of Fish","Grace Scott","Science",1522,95
"The Study of Human Behavior","Olivia Harris","Education",1752,182
"The Study of Human Biology","Jack Lewis","Science",1177,439
"The Study of Marine Life","Jack Scott","Science",1286,97
"The Study of Marine Mammals","Grace Thompson","Science",1825,88
"The Study of Statistical Models","Olivia Lewis","Science",1672,229
"The Study of Weather Patterns","Grace Lewis","Science",1333,130
"The Symbolism of Fantasy","Grace Lewis","Writing",1460,267
"The Symbolism of Poe","Sophia Scott","Writing",1479,420
"The Symphony of Europe","Isabella Rossi","Music",1757,392
"The Symphony of the 20th Century","Aria Thompson","Music",1661,474
"The Tales of Scheherazade","William Parker","Writing",1945,200
"The Tapestry of Art History","Daniel Thompson","Art",1356,163
"The Teaching Timeline","Jack Harris","Education",1781,452
"The Techniques of American Landscape Painting","Albert Bierstadton","Art",1246,313
"The Techniques of Gothic Art","Johan van der Meer","Art",1574,69
"The Techniques of Great Writers","Sophia King","Writing",1353,30
"The Techniques of Historical Artisans","Amelia King","Art",1789,329
"The Techniques of Japanese Pottery","Kenji Watanabe","Art",1995,296
"The Techniques of Leonardo Da Vinci","Isabella Vinci","Art",1466,218
"The Techniques of Self-Help","Noah Adams","Writing",1216,226
"The Techniques of Travel Writing","Liam Hall","Writing",1455,113
"The Technology of Tomorrow","Lucas Parker","Writing",1505,89
"The Themes of Modern Thrillers","Mia Harris","Writing",1374,474
"The Theory of Everything Quantum","Emily Hall","Science",1462,75
"The Timeline of Education","Jack Parker","Education",1780,216
"The Trombone Tutor","Lily Scott","Music",1347,457
"The Truth in Storytelling","Ethan Adams","Writing",1185,345
"The Ultimate Guide to Playing the Cello","Mia Robinson","Music",1483,238
"The Universe of Nuclear Physics","Sophia Adams","Science",1188,142
"The Voice of Creative Nonfiction","Lucas Thompson","Writing",1934,285
"The Wisdom of Confucius","Mason Bennett","Writing",1776,488
"The Wit of Wilde","Lucas Adams","Writing",1093,402
"The Wonders of Amphibians","Olivia Harris","Science",1700,147
"The Wonders of Cell Biology","Grace Thompson","Science",1229,314
"The Wonders of the Deep Sea","Grace Parker","Science",1623,118
"The Wonders of the Underwater World","Emily Scott","Science",1032,334
"The World of Algorithms","Ava Green","Science",1407,252
"The World of Data Visualization","Ava Turner","Science",1837,447
"The World of Genetics","Ethan Davis","Science",1367,465
"The World of J-Pop","Sakura Mori","Music",1171,408
"The World of Literary Agents","Emily Turner","Writing",1827,154
"The World of Mammals","Noah White","Science",1090,309
"The World of Nature Writing","Liam Bennett","Writing",1328,34
"The World of Relativity","Ava Thompson","Science",1870,497
"The World of Virgil","Mia Thompson","Writing",1862,436
"The Writer's Guide to Contracts","Lucas Phillips","Writing",1289,305
"The Writer's Guide to Self-Publishing","Noah Green","Writing",1205,186
"The Writer's Journal","Mia Lewis","Writing",1364,363
"The Writer's Toolbox","Olivia Hall","Writing",1238,204
"The Writing Workshop Quarterly","Lucas Phillips","Writing",1997,220
"The Zen of Japanese Art","Hiroshi Sato","Art",1154,373
"The Zen of Japanese Music","Aiko Hayashi","Music",1808,174
"Traditional African Painting Techniques","Jengo Kalu","Art",1101,298
"Traditional American Textile Art","Harriet Powers","Art",1428,114
"Traditional European Textile Art","Elena Petrova","Art",1111,322
"Traditional Indian Textile Art","Raj Kumar","Art",1111,455
"Traditional Japanese Music","Kenji Sato","Music",1838,274
"Traditional Japanese Painting Techniques","Haruki Nakamura","Art",1446,255
"Traditional Music of West Africa","Jengo Nkrumah","Music",1256,144
"Understanding Classical Mechanics","Emily White","Science",1727,164
"Warding and Protection Spells","Eldric Moonwhisper","Arcana",1167,339
"Water Magic and Mysticism","Seraphina Moonfall","Arcana",1728,476
"Wonders of the Mystical Realm","Thalindra Mistwalker","Arcana",1617,439
"Woolf's Literary Landscapes","Ethan White","Writing",1967,92
"Writing for Impact","Olivia Turner","Writing",1241,308
"Writing with Clarity","Ethan Johnson","Writing",1600,391
"Writing with Purpose","Jack Lewis","Writing",1526,495
